method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
QLoRA fp4,q+k+v+o,16,78.67437221,2.650890827,0.274106532,0.941535633,0.941578947,30000
QLoRA fp4,q+k+v+o,32,78.36878876,2.716717243,0.265319973,0.945286782,0.945263158,30000
baseline,,,9.866666667,1.28988266,0.455078125,0.868672033,0.868552632,15000
LoRA,q+v,4,28.62824151,3.047973156,0.321777344,0.932654942,0.932763158,15000
LoRA,q+v,8,28.84251805,3.05523634,0.312988281,0.932278831,0.932368421,15000
LoRA,q+v,16,28.86996859,3.069762707,0.301513672,0.934777822,0.934868421,15000
LoRA,q+v,32,29.587385,3.098815441,0.291503906,0.93560417,0.935657895,15000
LoRA,q+k+v,4,31.37267208,3.190669537,0.326904297,0.931352529,0.931447368,15000
LoRA,q+k+v,8,31.3847899,3.200923443,0.318847656,0.93294636,0.933026316,15000
LoRA,q+k+v,16,31.50137138,3.221431255,0.298339844,0.935060831,0.935131579,15000
LoRA,q+k+v,32,32.41473341,3.26244688,0.295410156,0.933607652,0.933684211,15000
LoRA,q+k+v+o,4,34.53147716,3.4684062,0.306152344,0.932962588,0.933026316,15000
LoRA,q+k+v+o,8,34.41954778,3.482932568,0.300537109,0.933085631,0.933157895,15000
LoRA,q+k+v+o,16,34.34409003,3.511985302,0.282714844,0.935707143,0.935789474,15000
LoRA,q+k+v+o,32,35.91004864,3.570090771,0.267578125,0.938506146,0.938552632,15000
QLoRA nf4,q+v,4,36.09571378,2.347752094,0.326653898,0.929953676,0.93,15000
QLoRA nf4,q+v,8,36.12469873,2.359058857,0.328670204,0.92938559,0.929473684,15000
QLoRA nf4,q+v,16,35.97902634,2.370686054,0.317027509,0.932379554,0.9325,15000
QLoRA nf4,q+v,32,36.33211311,2.408833027,0.300086439,0.933507861,0.933552632,15000
QLoRA nf4,q+k+v,4,38.2231453,2.435722828,0.328142226,0.929718585,0.929868421,15000
QLoRA nf4,q+k+v,8,37.82517925,2.446564198,0.309388012,0.931491182,0.931578947,15000
QLoRA nf4,q+k+v,16,37.52231826,2.469711781,0.298782408,0.934566365,0.934605263,15000
QLoRA nf4,q+k+v,32,37.72912803,2.51747179,0.289286107,0.935153107,0.935263158,15000
QLoRA nf4,q+k+v+o,4,39.45787823,2.60158205,0.315379292,0.930432064,0.930526316,15000
QLoRA nf4,q+k+v+o,8,39.27816264,2.624935627,0.298323125,0.933591241,0.933684211,15000
QLoRA nf4,q+k+v+o,16,39.12369395,2.651379108,0.289564699,0.936108551,0.936184211,15000
QLoRA nf4,q+k+v+o,32,39.48249969,2.71940279,0.270277917,0.940188672,0.940263158,15000
QLoRA fp4,q+v,4,36.13950917,2.345798969,0.338482559,0.927138492,0.927236842,15000
QLoRA fp4,q+v,8,36.06199426,2.354908466,0.328328371,0.92950609,0.929605263,15000
QLoRA fp4,q+v,16,36.34550671,2.368732929,0.313822716,0.932265724,0.932368421,15000
QLoRA fp4,q+v,32,36.58246837,2.403706074,0.305938363,0.932368148,0.9325,15000
QLoRA fp4,q+k+v,4,38.49662088,2.437431812,0.339339405,0.926911669,0.926973684,15000
QLoRA fp4,q+k+v,8,38.23541712,2.448517323,0.310509086,0.930459097,0.930526316,15000
QLoRA fp4,q+k+v,16,38.14102764,2.470444202,0.299896061,0.934115549,0.934210526,15000
QLoRA fp4,q+k+v,32,38.3813633,2.514542103,0.290690243,0.935823005,0.935921053,15000
QLoRA fp4,q+k+v+o,4,41.39231213,2.605976582,0.32534194,0.929070435,0.929210526,15000
QLoRA fp4,q+k+v+o,8,40.93245444,2.623959064,0.307169437,0.933264289,0.933289474,15000
QLoRA fp4,q+k+v+o,16,40.00792019,2.656750202,0.300586611,0.933878316,0.933947368,15000
QLoRA fp4,q+k+v+o,32,40.3660174,2.720623493,0.283036023,0.938105575,0.938157895,15000
baseline,,,2.845,1.289077759,0.412597656,0.853451018,0.853758278,3000
LoRA,q+v,4,6.676666667,3.047973156,0.413574219,0.914207926,0.914473684,3000
LoRA,q+v,8,6.713333333,3.055236339,0.39819335,0.915588019,0.915789474,3000
LoRA,q+v,16,6.645,3.0697627,0.37915039,0.91668337,0.916842105,3000
LoRA,q+v,32,6.833333333,3.09881544,0.37255859,0.920322614,0.920526316,3000
LoRA,q+k+v,4,7.236166667,3.190669537,0.39111328,0.913640724,0.913815789,3000
LoRA,q+k+v,8,7.296666667,3.200923,0.387207315,0.91541387,0.915657895,3000
LoRA,q+k+v,16,7.216666667,3.22143125,0.36743164,0.91842142,0.918684211,3000
LoRA,q+k+v,32,7.443333333,3.26244688,0.361572266,0.921391785,0.921578947,3000
LoRA,q+k+v+o,4,7.916666667,3.4684062,0.3840332,0.91384234,0.914078947,3000
LoRA,q+k+v+o,8,7.878333333,3.482932568,0.37597656,0.915292571,0.915526316,3000
LoRA,q+k+v+o,16,7.85,3.5119853,0.359130859,0.919954907,0.920131579,3000
LoRA,q+k+v+o,32,8.216666667,3.5700907,0.355712891,0.923774435,0.923947368,3000
QLoRA nf4,q+v,4,8.554461078,2.337009907,0.406510949,0.911525287,0.911842105,3000
QLoRA nf4,q+v,8,8.563411125,2.355420113,0.414462,0.908794716,0.909078947,3000
QLoRA nf4,q+v,16,8.555383956,2.369465351,0.396051228,0.915928562,0.916184211,3000
QLoRA nf4,q+v,32,8.61006424,2.399799824,0.382431746,0.919459363,0.919736842,3000
QLoRA nf4,q+k+v,4,9.041991949,2.435722828,0.420618892,0.907065546,0.907368421,3000
QLoRA nf4,q+k+v,8,9.008397925,2.446320057,0.406107813,0.914027503,0.914210526,3000
QLoRA nf4,q+k+v,16,8.882506875,2.469955921,0.384617984,0.918450941,0.918684211,3000
QLoRA nf4,q+k+v,32,8.946062092,2.509903431,0.362537742,0.919893487,0.920131579,3000
QLoRA nf4,q+k+v+o,4,9.328467715,2.600849628,0.404741794,0.91160278,0.911842105,3000
QLoRA nf4,q+k+v+o,8,9.29479965,2.621761799,0.383236676,0.916762269,0.916973684,3000
QLoRA nf4,q+k+v+o,16,9.252978381,2.654308796,0.377703041,0.918361591,0.918684211,3000
QLoRA nf4,q+k+v+o,32,9.343556694,2.714275837,0.364318401,0.923322057,0.923552632,3000
QLoRA fp4,q+v,4,8.581637498,2.349461079,0.43324694,0.905896208,0.906184211,3000
QLoRA fp4,q+v,8,8.573678764,2.354420185,0.415067524,0.908764271,0.908947368,3000
QLoRA fp4,q+v,16,8.551862939,2.371174335,0.404210448,0.913971156,0.914210526,3000
QLoRA fp4,q+v,32,8.599360184,2.402973652,0.397886217,0.918596765,0.918815789,3000
QLoRA fp4,q+k+v,4,8.993783919,2.435234547,0.425184637,0.905837167,0.906052632,3000
QLoRA fp4,q+k+v,8,8.990693275,2.449493885,0.419843823,0.908457161,0.908684211,3000
QLoRA fp4,q+k+v,16,8.952303684,2.470932484,0.408538759,0.912423938,0.912631579,3000
QLoRA fp4,q+k+v,32,9.033458877,2.516495228,0.392183512,0.918489771,0.918684211,3000
QLoRA fp4,q+k+v+o,4,9.420661068,2.606953144,0.419776171,0.905875427,0.906052632,3000
QLoRA fp4,q+k+v+o,8,9.397456046,2.620785236,0.397007346,0.91245882,0.912763158,3000
QLoRA fp4,q+k+v+o,16,9.337225465,2.650890827,0.376982063,0.917299493,0.9175,3000
QLoRA fp4,q+k+v+o,32,9.429254683,2.715740681,0.374134809,0.920583861,0.920789474,3000
baseline,,,1.952276993,4.591526031,0.49609375,0.819726831,0.819868421,1500
LoRA,q+v,4,3.963313834,5.268517017,0.443603516,0.90209046,0.902236842,1500
LoRA,q+v,8,3.967567035,5.275780201,0.422119141,0.904493303,0.904605263,1500
LoRA,q+v,16,3.93547521,5.290306568,0.527832031,0.896449966,0.896710526,1500
LoRA,q+v,32,4.032133798,5.319359303,0.375732422,0.913563151,0.913684211,1500
LoRA,q+k+v,4,4.300955693,5.411213398,0.458984375,0.890922058,0.891184211,1500
LoRA,q+k+v,8,4.315288333,5.421467304,0.439208984,0.902019744,0.902368421,1500
LoRA,q+k+v,16,4.261682614,5.441975117,0.417480469,0.905497,0.905789474,1500
LoRA,q+k+v,32,4.406974657,5.482990742,0.413574219,0.907887319,0.908157895,1500
LoRA,q+k+v+o,4,4.674155279,5.688950062,0.430419922,0.902145754,0.9025,1500
LoRA,q+k+v+o,8,4.661773876,5.703476429,0.412353516,0.906489424,0.906710526,1500
LoRA,q+k+v+o,16,4.628384443,5.732529163,0.393066406,0.909454417,0.909605263,1500
LoRA,q+k+v+o,32,4.857480009,5.790634632,0.374267578,0.913908689,0.914210526,1500
QLoRA nf4,q+v,4,5.101888871,2.872004032,0.476172239,0.888984721,0.889342105,1500
QLoRA nf4,q+v,8,5.08723793,2.877939701,0.460928291,0.896435714,0.896842105,1500
QLoRA nf4,q+v,16,5.060823826,2.895182133,0.439322293,0.901627151,0.901973684,1500
QLoRA nf4,q+v,32,5.078264244,2.925272465,0.44476226,0.904239585,0.904605263,1500
QLoRA nf4,q+k+v,4,5.319965454,2.955824375,0.457194746,0.892186875,0.892631579,1500
QLoRA nf4,q+k+v,8,5.303115328,2.969351292,0.426117867,0.902395587,0.902631579,1500
QLoRA nf4,q+k+v,16,5.282649676,2.989080906,0.419438452,0.906093526,0.906315789,1500
QLoRA nf4,q+k+v,32,5.315047709,3.036352634,0.404185355,0.910971508,0.911315789,1500
QLoRA nf4,q+k+v+o,4,5.537730138,3.127542973,0.439876258,0.900229814,0.900526316,1500
QLoRA nf4,q+k+v+o,8,5.519595993,3.137957096,0.417233616,0.903684199,0.903947368,1500
QLoRA nf4,q+k+v+o,16,5.492749691,3.174898624,0.394630283,0.909242076,0.909473684,1500
QLoRA nf4,q+k+v+o,32,5.558444071,3.233156681,0.366976857,0.914703756,0.915,1500
QLoRA fp4,q+v,4,5.143444844,2.862238407,0.45123595,0.886374885,0.886578947,1500
QLoRA fp4,q+v,8,5.128481376,2.870127201,0.470495909,0.892380511,0.892763158,1500
QLoRA fp4,q+v,16,5.115586126,2.889322758,0.432378232,0.90218534,0.9025,1500
QLoRA fp4,q+v,32,5.136684322,2.914530277,0.409738183,0.908222569,0.908421053,1500
QLoRA fp4,q+k+v,4,5.376940815,2.954359531,0.480421692,0.882879271,0.883421053,1500
QLoRA fp4,q+k+v,8,5.34757702,2.966421604,0.443934441,0.899588511,0.899868421,1500
QLoRA fp4,q+k+v,16,5.346155969,2.988104343,0.419871897,0.905156132,0.905394737,1500
QLoRA fp4,q+k+v,32,5.357253929,3.036840916,0.389846385,0.91012986,0.910394737,1500
QLoRA fp4,q+k+v+o,4,5.59665006,3.125101566,0.450883329,0.895444365,0.895789474,1500
QLoRA fp4,q+k+v+o,8,5.584205182,3.145281315,0.431842029,0.902910914,0.903157895,1500
QLoRA fp4,q+k+v+o,16,5.548710076,3.173433781,0.409223855,0.909740148,0.91,1500
QLoRA fp4,q+k+v+o,32,5.593556015,3.239992619,0.382677823,0.915796384,0.915921053,1500
baseline,,,1.225227404,3.479290485,1.166992188,0.549788795,0.549210526,300
LoRA,q+v,4,1.795865186,3.047973156,0.74609375,0.731069988,0.732105263,300
LoRA,q+v,8,1.781988283,3.05523634,0.500976563,0.814791935,0.815131579,300
LoRA,q+v,16,1.781126491,3.069762707,0.432128906,0.855254286,0.856184211,300
LoRA,q+v,32,1.858975327,3.098815441,0.400878906,0.884524341,0.884868421,300
LoRA,q+k+v,4,1.93154974,3.190669537,0.837890625,0.680603179,0.6825,300
LoRA,q+k+v,8,1.930523527,3.200923443,0.634277344,0.761296995,0.762236842,300
LoRA,q+k+v,16,1.9263599,3.221431255,0.478271484,0.836580076,0.837236842,300
LoRA,q+k+v,32,2.011976735,3.26244688,0.456298828,0.87090838,0.871052632,300
LoRA,q+k+v+o,4,2.072902485,3.4684062,0.607910156,0.774628358,0.775394737,300
LoRA,q+k+v+o,8,2.075458161,3.482932568,0.550292969,0.798904538,0.799605263,300
LoRA,q+k+v+o,16,2.070728441,3.511985302,0.41796875,0.85812689,0.858684211,300
LoRA,q+k+v+o,32,2.205103175,3.570090771,0.418212891,0.886278651,0.886447368,300
QLoRA nf4,q+v,4,2.349051428,2.86550045,1.190318823,0.492815948,0.494342105,300
QLoRA nf4,q+v,8,2.349997775,2.875290394,0.817211628,0.686746076,0.687894737,300
QLoRA nf4,q+v,16,2.353520513,2.891067982,0.528116047,0.806152667,0.807105263,300
QLoRA nf4,q+v,32,2.344138789,2.918716908,0.438465863,0.865355012,0.865789474,300
QLoRA nf4,q+k+v,4,2.46724087,2.957569599,1.13916564,0.525931128,0.527368421,300
QLoRA nf4,q+k+v,8,2.447548223,2.972073078,0.677574873,0.744717509,0.745789474,300
QLoRA nf4,q+k+v,16,2.440980915,2.988873005,0.50292635,0.822667812,0.823552632,300
QLoRA nf4,q+k+v,32,2.450698622,3.032238483,0.449355662,0.858554,0.859342105,300
QLoRA nf4,q+k+v+o,4,2.559902938,3.12684679,0.713915586,0.729180325,0.730526316,300
QLoRA nf4,q+k+v+o,8,2.561826642,3.146049976,0.462587386,0.834248988,0.835263158,300
QLoRA nf4,q+k+v+o,16,2.528058787,3.172249317,0.425810397,0.874350182,0.875,300
QLoRA nf4,q+k+v+o,32,2.551014181,3.236366749,0.440277696,0.890256866,0.890789474,300
QLoRA fp4,q+v,4,2.38593266,2.864471912,0.84711045,0.670076174,0.671447368,300
QLoRA fp4,q+v,8,2.402626399,2.872848988,1.130082369,0.540270204,0.543552632,300
QLoRA fp4,q+v,16,2.385647424,2.886185169,0.911554515,0.649468843,0.652368421,300
QLoRA fp4,q+v,32,2.386694992,2.919205189,0.724931359,0.719205731,0.721052632,300
QLoRA fp4,q+k+v,4,2.488073202,2.95805788,1.280975699,0.434789038,0.438026316,300
QLoRA fp4,q+k+v,8,2.486722108,2.963772297,0.908954024,0.653030024,0.654078947,300
QLoRA fp4,q+k+v,16,2.471628567,2.986431599,0.605849564,0.774138877,0.774605263,300
QLoRA fp4,q+k+v,32,2.490838035,3.031750202,0.463253111,0.843126229,0.843815789,300
QLoRA fp4,q+k+v+o,4,2.599447858,3.120499134,0.924658656,0.652779279,0.655,300
QLoRA fp4,q+k+v+o,8,2.581322551,3.136772633,0.483985931,0.828579321,0.83,300
QLoRA fp4,q+k+v+o,16,2.564110545,3.171761036,0.45038259,0.866316507,0.867236842,300
QLoRA fp4,q+k+v+o,32,2.578613242,3.233925343,0.459965706,0.879479007,0.880131579,300
